{'track_id': '5359', 'play_count': '9', 'play_date_utc': '2019-09-19T16:49:08Z', 'name': 'Ego', 'artist': 'A Tribe Called Quest'}
{'track_id': '5355', 'play_count': '31', 'play_date_utc': '2019-09-19T16:54:14Z', 'name': 'Movin Backwards', 'artist': 'A Tribe Called Quest'}
{'track_id': '5067', 'play_count': '14', 'play_date_utc': '2019-09-19T16:58:07Z', 'name': 'Show Business', 'artist': 'A Tribe Called Quest'}
{'track_id': '5345', 'play_count': '12', 'play_date_utc': '2019-09-19T17:01:28Z', 'name': 'Enough!!', 'artist': 'A Tribe Called Quest'}
{'track_id': '5693', 'play_count': '6', 'play_date_utc': '2019-09-19T17:05:35Z', 'name': 'I Left My Wallet In El Segundo', 'artist': 'A Tribe Called Quest'}
{'track_id': '5337', 'play_count': '8', 'play_date_utc': '2019-09-19T17:09:18Z', 'name': 'Solid Wall of Sound', 'artist': 'A Tribe Called Quest'}
{'track_id': '5897', 'play_count': '2', 'play_date_utc': '2019-09-19T17:32:14Z', 'name': 'Juicy', 'artist': 'Doja Cat'}
{'track_id': '983', 'play_count': '35', 'play_date_utc': '2019-09-19T17:34:54Z', 'name': "Bowser's Lava Lake Keep", 'artist': 'Mahito Yokota, Toru Minegishi, Yasuaki Iwata, and Koji Kondo'}
{'track_id': '4907', 'play_count': '4', 'play_date_utc': '2019-09-19T17:36:02Z', 'name': '(Da Da Da Da)', 'artist': 'Feed Me Jack'}
{'track_id': '3591', 'play_count': '7', 'play_date_utc': '2019-09-19T17:38:16Z', 'name': 'Bracketeering: Lobby', 'artist': 'Jackbox Games'}
{'track_id': '2721', 'play_count': '15', 'play_date_utc': '2019-09-19T17:40:31Z', 'name': 'Gourmet Race [Cover]', 'artist': 'RichaadEB'}
{'track_id': '5689', 'play_count': '2', 'play_date_utc': '2019-09-19T17:45:13Z', 'name': 'After Hours', 'artist': 'A Tribe Called Quest'}
{'track_id': '2627', 'play_count': '13', 'play_date_utc': '2019-09-19T17:48:11Z', 'name': 'The Town', 'artist': 'Stuart Chatwood'}
{'track_id': '1141', 'play_count': '66', 'play_date_utc': '2019-09-19T17:56:00Z', 'name': 'Pathetic House', 'artist': 'Toby Fox'}
{'track_id': '3111', 'play_count': '31', 'play_date_utc': '2019-09-19T18:38:32Z', 'name': 'Sono Chi no Sadame', 'artist': 'Hiroaki Tominaga'}
{'track_id': '3621', 'skip_count': '4', 'skip_date': '2019-09-19T18:38:36Z', 'name': 'A Walk to Remember', 'artist': 'Vulfpeck'}
{'track_id': '3201', 'play_count': '11', 'play_date_utc': '2019-09-19T18:40:15Z', 'name': 'The Temple of Istus', 'artist': 'Griffin McElroy'}
{'track_id': '971', 'play_count': '74', 'play_date_utc': '2019-09-19T18:41:18Z', 'name': 'Muda Kingdom', 'artist': 'Hirokazu Tanaka'}
